address,balance
0x4cbc25559dbbd1272ec5b64c7b5f48a2405e6470,55078336089307
0xff95c5f35f4ffb9d5f596f898ac1ae38d62749c2,14875087862363
0x7db685961f97c847a4c815d43e9cc0e5647328b9,8439396437033
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,2221002694385
0x0502d65f26f45d17503e4d34441f5e73ea143033,948918843952
0xe0663f2372caa1459b7ade90812dc737ce587fa6,108169525232
0x81ad394c0fa87e99ca46e1aca093bee020f203f4,67110117546
0xaa818ce02375e4e65e76e59b968aae168bb14c41,7660939741
0x9c6e67fa86138ab49359f595bfe4fb163d0f16cc,2536640987
0xdd82875f0840aad58a455a70b88eed9f59cec7c7,1702276055
0xb65a66621d7de34afec9b9ac0755133051550dd7,891681763
0xa969cfcd9e583edb8c8b270dc8cafb33d6cf662d,403202812
0xded796de6a14e255487191963dee436c45995813,115672695
0x48afe17cb6363fd1aaea50a8cb652c5978972c96,105547942
0xcad001c30e96765ac90307669d578219d4fb1dce,99756128
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,9100695
0xea0c048c728578b1510ebdf9b692e8936d6fbc90,6997053
0x13ccb6e28f22e2f6783badedce32cc74583a3647,337592
0x985de23260743c2c2f09bfdec50b048c7a18c461,287386
0xfe940bfe535013a52e8e2df9644f95e3c94fa14b,102197
0xe72fe64840f4ef80e3ec73a1c749491b5c938cb9,430
0x569d7dccbf6923350521ecbc28a555a500c4f0ec,0
0x87f220c2c8026fb45ac3c2834599670a5d2f4872,0
0x9f6d1a62bf268aa05a1218cfc89c69833d2d2a70,0
0xb50a1f651a5acb2679c8f679d782c728f3702e53,0
0xcf3166181848eec4fd3b9046ae7cb582f34d2e6c,0
0xd48e565561416de59da1050ed70b8d75e8ef28f9,0
