address,balance
0x081445e9aefc169dac9dcb41601d87b68df6b69e,88069193762
0xe7e53f940f8242fec57cbe88054463d4944b3670,123349517
0xba2e6c3193d1f8d42b6d37ac23cf325ca24a21a6,43393912
0x77bab32f75996de8075eba62aea7b1205cf7e004,32850382
0xfe691c299ad925906d40849d4bd2ed598b2a25b7,29618500
0x402f9b2a415a9e4cedb7b7a8e164eca97aebe44d,20000000
0xc7cba87455f55843915c271797a96f759dbe9127,18000000
0x6931f096405a787af1ede966298c7a6e27e02b15,16376528
0x622d55eb94b9fa0702dfc8a6f48128bf5f358b4b,14869811
0xfd5917a1a157eff54decb755cf5c5709bbe44200,10259389
0xe94bb207c4b543276d95bf62b2efe687a35fe3d8,10011988
0xa3752af0d28549a04b2bb90c9fb5533d380c8ffa,9339683
0xaa3e78e700f93c7b81553a7d7c10899ba5349bc5,6997531
0x3fbe45cc3c7ed901fdb3c0617e509da220b21880,6664770
0x7ebda56c216a4f85f0f94a1d19a2c5d8cf982a1b,3999999
0xe5034197900b4d3698c02c4a22411ee69450bba5,3561527
0xd4b9a2e56c36c670eaf45119d6fa069722b0ae9a,3059344
0x4c695d7b664ae173dbf0f5fcd03a46b558ba4429,3000000
0xff54ec0dc3bb987a40b4a56e52e73bc3f9189ba4,2559041
0xea2117b24f7947647bec60527b68f4244ae40c01,2001435
0x9fd5f126bc52f7735f8aeb8a994c5aa9e799a32f,2000000
0xa5800d560c47877d279972110967f4e572c20ab9,2000000
0x732088a44506af960d9ee19925b35778e6188772,1999999
0xb0210de78e28e2633ca200609d9f528c13c26cd9,1767946
0x4fe6c369f277803fd39f9a1b645ad878ee9163f1,1739493
0xeacc685d700bc4b44fba4bf94d9526f029fec4d3,1432446
0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,1283586
0x76f8fc6667e239f83a547d4e16225d6a34f6fa22,1243272
0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,1167499
0x8e30ddbe4580408b0597a4cfd4ba981681fc2985,1120007
0xbed60b619979604ee2b763bcbfeb9251633c53d2,1031171
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,1015591
0x49887a216375fded17dc1aaad4920c3777265614,1009999
0x437cc33344a0b27a429f795ff6b469c72698b291,1000000
0x7d6105d75c5e6a40791a50a52a92365545e9b112,1000000
0x802667f09d6de533390b9a9bc5e6623fe526bede,1000000
0xbad74c2c4429e6039b3b2f563788d2c97e02b31c,999999
0xf4db2e9d49817ee4d1b89c214a0dd76b603f9c33,999849
0xeb0cd3b4d181b0a1ab839d93aaa221532ecb6894,999815
0xdddb9a95e443a204eb8650d5ea578ed707fe2123,949080
0xf5c4f3dc02c3fb9279495a8fef7b0741da956157,658690
0x46e73e11a55a558788b6f061fa9b3a5d16455fd5,644777
0xd5c4bf15fa0a98973b1e69b661ce11ed134212bb,548326
0x9b2a3b92b1d86938d3ed37b0519952c227ba6d09,504329
0x4d5401b9e9dcd7c9097e1df036c3afafc35d604f,404643
0xeda49bce2f38d284f839be1f4f2e23e6c7cc7dbd,360827
0xca11410eca946194daaf0dfc9146649943b6bf9b,255887
0xb50a1f651a5acb2679c8f679d782c728f3702e53,255372
0xf778d1c28908bb310f570499f43b7d9b94f5098e,247167
0x12b1a4226ba7d9ad492779c924b0fc00bdcb6217,220997
0xf93191d350117723dbeda5484a3b0996d285cecf,151344
0x5266427a87cc97e9bb079dc505168deab27c5361,99999
0x9631288f4050f7cfbf77b77f8540decf6cfc7012,99999
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,92646
0xabbf8aae4c85fc595dc8e25f67b69aa49fae11f6,77326
0x2002d368c670f5db65f732152f8887677933d830,72536
