address,balance
0x9bbadff0f992f1cb1cf856a58f81240ebac7476e,70550270906
0x6c38c0c1fbe42c3ccadc3599f82becb8a7f522e9,113993431
0xa85463888b1abfb023b134539b598de00383953f,60803272
0x1d50476a101ac0ab6b71b7c73184e71bd4681081,29999999
0x2002d368c670f5db65f732152f8887677933d830,25588787
0xff54ec0dc3bb987a40b4a56e52e73bc3f9189ba4,8810000
0x77bab32f75996de8075eba62aea7b1205cf7e004,6679153
0xeafa86fafe345c85a514a44ca149c873cb7b37f7,2949000
0xaa3e78e700f93c7b81553a7d7c10899ba5349bc5,1739994
0x3065e64ee790d860f213f25a16ce7238b47f5b8c,1000000
0xebe3b07d72cbe336380f4881241ca569be045142,499000
0x89b3c64d554e9fa5e5a6f85cb53b2086d3a1a7fa,200000
0x4c695d7b664ae173dbf0f5fcd03a46b558ba4429,90000
0xe2feab543940e21d6db95d176cb59ad8a19a5c7b,50000
0xbed6a276b55a4cea68e9d573a568ae5671e4d47a,14998
0x71401fd427e2a525acff575294ab8af4721828c4,10000
0x5266427a87cc97e9bb079dc505168deab27c5361,9997
0xf2f1acbe0ba726fee8d75f3e32900526874740bb,9990
0xfa695d1c41b1939ae6c0fcf93cf7e9e5155a6c60,9000
0xe39b012ab3b20e94a9beea557eb0de4171d4d3e4,1000
