address,balance
0x4cbc25559dbbd1272ec5b64c7b5f48a2405e6470,55078336089307
0xff95c5f35f4ffb9d5f596f898ac1ae38d62749c2,14875087862363
0x7db685961f97c847a4c815d43e9cc0e5647328b9,8439396437033
0x0502d65f26f45d17503e4d34441f5e73ea143033,5631392223407
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,2011084892644
0x9bbadff0f992f1cb1cf856a58f81240ebac7476e,218835747595
0xc32e2a2f03d41768095e67b62c9c739f2c2bc4aa,213345175301
0xe0663f2372caa1459b7ade90812dc737ce587fa6,105874148844
0x81ad394c0fa87e99ca46e1aca093bee020f203f4,11794686380
0xaa818ce02375e4e65e76e59b968aae168bb14c41,7660939741
0x9c6e67fa86138ab49359f595bfe4fb163d0f16cc,2536640987
0x93db2e90f8b2b073010b425f9350202330bd923e,1900155720
0xdd82875f0840aad58a455a70b88eed9f59cec7c7,1702276055
0xb1345e7a4d35fb3e6bf22a32b3741ae74e5fba27,1700000000
0xb65a66621d7de34afec9b9ac0755133051550dd7,891681763
0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,851212258
0xb50dbca8da7bf56c6e405a6589a7c5b0b0ff56bc,621825513
0xc0fc3ddfec95ca45a0d2393f518d3ea1ccf44f8b,465589951
0xa969cfcd9e583edb8c8b270dc8cafb33d6cf662d,403202812
0x33c353600cec128c0961e9775a97dc0c77955ba7,399122208
0x42c53a226832f89cde0a6773fcaa2151a286ab9f,399099377
0xea5d4669dbac8d513d242ee6ca40fadfdf4d9621,399076546
0xdf06b021cfa87a5e30134558517e37ba96d1899b,399053717
0xa5800d560c47877d279972110967f4e572c20ab9,317602894
0xf93191d350117723dbeda5484a3b0996d285cecf,199653792
0x5018dd58b282bb1074041c52ff8c9abfff529b51,199518294
0x702d6def95d59e31eba8420372821c2e49f2d607,149954571
0x9008d19f58aabd9ed0d60971565aa8510560ab41,126763442
0xcfb0580452029ae64cc2014cac29b1b94befedd3,120111090
0xded796de6a14e255487191963dee436c45995813,115672695
0x000000000004444c5dc75cb358380d2e3de08a90,113984556
0x48afe17cb6363fd1aaea50a8cb652c5978972c96,109492432
0xa08171d289c6de357a800cf839dab7cce752de2c,100000000
0xcad001c30e96765ac90307669d578219d4fb1dce,99756128
0x2002d368c670f5db65f732152f8887677933d830,98983936
0xa85463888b1abfb023b134539b598de00383953f,96985301
0x77bab32f75996de8075eba62aea7b1205cf7e004,94848260
0x47f245daf877df9853e99bd956319fa49f8f65cf,72000000
0xafeb0e2fa73bbd0f4796007f59f2eb6fed9b0b2a,66937039
0x2574d2367c58a037604d79a5a6ddd5e13603cf12,60644047
0x4bb2087bc7986927dd3949d1b30439fd51ddebb3,53230530
0x750b8bba6a37e62b1bd1a8c0bc67f62a62374bb3,49866983
0xbbcec987e4c189fcbab0a2534c77b3ba89229f11,45514439
0x82ddf64937518145d7066090e72d4b618c05de65,39914387
0xff8151bd47d030b50894e2bf78eb3c1ba4d05370,39914158
0xb8537eb7cfd6e6ed4db51e76695de577e8d8ba42,39913931
