address,balance
0x051aea1715b5d80f59612dd7578046df76e352a8,622246177830
0x12c255570d9f7b682a43f0093a17b3b03960f366,204499072822
0xb89f732525d27525a835a4f8b2f43a77da7d2459,100000000000
0xb3971446660f38332c40acdd129c1d8fa87e57f7,50811105827
0xeb29fbaa2d509e43313c196a82f4ad75fa251285,20470029703
0x1cfea3b595a5f1aa3479cd5ee52f8ea2dbc21b8c,10376438335
0x54e9826a8deb8280c1fdce193c4b993d1aac86b0,6393206720
0x12b1a4226ba7d9ad492779c924b0fc00bdcb6217,6245343893
0xfcd9828bd4552f015865f4c1f8b5e0116dd997d1,4085931990
0xe49acc3b16c097ec88dc9352ce4cd57ab7e35b95,1828634310
0x14521ecf225e912feb2c7827ca79ea13a744d8d5,1000000000
0x3a791e828fdd420fbe16416efdf509e4b9088dd4,969237126
0xb947edde9c797d83f785f491af389316b2bbd9dd,819653937
0x0a57b5ce26704c64b0a5fd670567831982a2a387,500000000
0x4202092764d164ad8d8f8dc520ec0587c60f4016,235999997
0xf2f1acbe0ba726fee8d75f3e32900526874740bb,102999898
0x3bab4d3fd47c8d2633c0043a4198eec4bcc79336,100000000
0x9e7b1cf4b5ba7bd96de23b2464b07604e26c6063,99999999
0x3bab4d3fd47c8d2633c0043a4198eec4bcd79336,90999996
0x4dfeb30021a5bb94afe33a149050a264fabf4c58,90000000
0x3f8c78b60921a825e3a1f89bc817267b3e311d24,49999994
0x77bab32f75996de8075eba62aea7b1205cf7e004,38995839
0x2244ba7fc96b1dfcaaac57521139c7487402b94e,18062702
0xd925c84b55e4e44a53749ff5f2a5a13f63d128fd,12999600
0x31345512109ccbfb409607d2b94ddbf53a11b47c,12877100
0xe39b012ab3b20e94a9beea557eb0de4171d4d3e4,12010000
0xfcfa0c3db71ae582c8af500862d525cc831c2acf,10999999
0xe03a1074c86cfedd5c142c4f04f1a1536e203543,10000001
0xaabc01baa543b86be70cdf66fc844f25f07eb727,9999958
0xa85463888b1abfb023b134539b598de00383953f,9985999
0xd39f64f38761c2b1a1056dabc10abcf3ef33133c,5823455
0x4697a1ca9ec1446818605fc171d01f61c7fb5575,5632764
0xa0a35e76e4476bd62fe452899af7aea6d1b20ab7,5394011
0xaf6ad7be32ffff4a37ea533fb18fe34459382cd7,1200000
0x3078466636623731433731304339664638333031,1000033
0x89a6c920d68cf9f0d1344ea68dbd4d44c210cd8f,999999
0xff6b71c710c9ff83012032d36c18bcc32bd96fe2,999950
0x1897bc1717d4ad5abcfa2ee47edb3265e9f4fd7c,241350
0x2d76ef6c5f94098069ad48cf7a0ff7450ad48721,84292
0x0ace67628bd43213c1c41ca1daef47e63923c75c,49975
0x7f299679524722e6d6c65c12069a47e98169ce0a,40090
0xf3337f6db0c100a30f6b83eaf018e4e561169e53,10000
0xbbb026d98338ba9d311f8b275c668fd8547437ab,9995
0xf5e1e71a0d905e62b1d3418ba955e10d4271901b,188
0x3cb68f9f4c641a7ab5764e5a155554dc476bd812,9
0x3078323230303537323033453535433366304165,1
0x3078423735353234353230414537614139623644,1
0x3078616142433031624161353433423836626537,1
